"","id","city","region","first_choice","second_choice","would_not_use","gender","race","target","emotion","image_race","image_gender"
"1",1856261,"FL","Palm City","Disgust","Surprise","Happiness","female","white","BM-020","Anger","Black","Male"
"2",29885393,"LA","Lake Charles","Fear","Surprise","Happiness","female","white","BM-020","Anger","Black","Male"
"3",6432269,"OH","Macedonia","Sadness","Anger","Happiness","female","white","BM-020","Anger","Black","Male"
"4",4316379,"NY","Bronx","Happiness","Neutral","Anger","female","white","BM-020","Happiness","Black","Male"
"5",45264713,"FL","Miami","Happiness","Neutral","Sadness","female","latino","BM-020","Happiness","Black","Male"
"6",9559045,"OK","Jenks","Happiness","Happiness","Anger","female","white","BM-020","Happiness","Black","Male"
"7",44044795,"AZ","Lake Havasu City","Fear","Sadness","Happiness","male","white","BM-020","Fear","Black","Male"
"8",27215203,"OK","Tulsa","Disgust","Fear","Happiness","female","other","BM-020","Fear","Black","Male"
"9",44788207,"FL","Altamonte Springs","Surprise","Fear","Happiness","male","black","BM-020","Fear","Black","Male"
"10",37243882,"IA","Perry","Happiness","Happiness","Anger","male","white","BM-020","Happiness","Black","Male"
"11",6340330,"NY","Fort Plain","Happiness","Surprise","Anger","female","white","BM-020","Happiness","Black","Male"
"12",29035493,"WI","Neenah","Happiness","Surprise","Anger","female","white","BM-020","Happiness","Black","Male"
"13",44849662,"NY","New York","Happiness","Happiness","Disgust","male","black","BM-036","Happiness","Black","Male"
"14",6645897,"CA","Alameda","Happiness","Surprise","Anger","male","asian","BM-036","Happiness","Black","Male"
"15",13277529,"TX","Mckinney","Happiness","I don't know","Disgust","female","white","BM-036","Happiness","Black","Male"
"16",45185282,"TX","Dallas","Surprise","Surprise","Surprise","male","black","BM-036","Fear","Black","Male"
"17",22345789,"MI","Spring Lake","Fear","Surprise","Disgust","female","white","BM-036","Fear","Black","Male"
"18",12997201,"TN","White House","Surprise","Fear","Happiness","female","white","BM-036","Fear","Black","Male"
"19",8308030,"TN","Hermitage","Anger","Disgust","Neutral","female","white","BM-036","Anger","Black","Male"
"20",18090380,"VA","Waynesboro","Sadness","Disgust","Happiness","female","other","BM-036","Anger","Black","Male"
"21",6409472,"NM","Albuquerque","Disgust","Anger","Happiness","male","white","BM-036","Anger","Black","Male"
"22",7012325,"CT","Darien","Happiness","Neutral","Anger","female","white","BM-036","Happiness","Black","Male"
"23",21785776,"GA","Columbus","Happiness","Surprise","Sadness","female","white","BM-036","Happiness","Black","Male"
"24",15004831,"RI","Riverside","Happiness","I don't know","Anger","female","white","BM-036","Happiness","Black","Male"
"25",5814726,"MT","Superior","Neutral","Happiness","Anger","female","white","BM-040","Happiness","Black","Male"
"26",1853182,"PA","Camp Hill","Happiness","Neutral","Fear","female","white","BM-040","Happiness","Black","Male"
"27",7461070,"FL","Orlando","Happiness","Surprise","Anger","female","white","BM-040","Happiness","Black","Male"
"28",29571331,"IL","Rockford","Happiness","Happiness","Anger","male","black","BM-040","Happiness","Black","Male"
"29",32909939,"VA","Richmond","Happiness","Surprise","Sadness","female","black","BM-040","Happiness","Black","Male"
